model,totalTime,attempts,answerWord,guessWords,won
Minimax,8.77686333656311,4,"{'answer': 'COACH', 'letters': {'C': 2, 'O': 1, 'A': 1, 'H': 1}}","[('CRATE', '20200'), ('NOWLS', '02000'), ('HALMA', '11000'), ('COACH', '22222'), None, None]",True
Minimax,30.805606365203857,5,"{'answer': 'FETID', 'letters': {'F': 1, 'E': 1, 'T': 1, 'I': 1, 'D': 1}}","[('CRATE', '00011'), ('TOLES', '10010'), ('NITID', '01202'), ('INFRA', '10100'), ('FETID', '22222'), None]",True
Minimax,8.052783489227295,4,"{'answer': 'EDICT', 'letters': {'E': 1, 'D': 1, 'I': 1, 'C': 1, 'T': 1}}","[('CRATE', '10011'), ('TITCH', '11020'), ('VOLKS', '00000'), ('EDICT', '22222'), None, None]",True
Minimax,37.4144287109375,5,"{'answer': 'HARDY', 'letters': {'H': 1, 'A': 1, 'R': 1, 'D': 1, 'Y': 1}}","[('SALET', '02000'), ('IRONY', '01002'), ('CHIMB', '01000'), ('SWARD', '00111'), ('HARDY', '22222'), None]",True
Minimax,7.95833158493042,4,"{'answer': 'ATTIC', 'letters': {'A': 1, 'T': 2, 'I': 1, 'C': 1}}","[('TRACE', '10110'), ('OINTS', '01010'), ('VOLKS', '00000'), ('ATTIC', '22222'), None, None]",True
Minimax,5.106750965118408,3,"{'answer': 'BOAST', 'letters': {'B': 1, 'O': 1, 'A': 1, 'S': 1, 'T': 1}}","[('SALET', '11002'), ('BOUGH', '22000'), ('BOAST', '22222'), None, None, None]",True
Minimax,16.424408435821533,4,"{'answer': 'VERGE', 'letters': {'V': 1, 'E': 2, 'R': 1, 'G': 1}}","[('CRATE', '01002'), ('HEROS', '02200'), ('MINGY', '00020'), ('VERGE', '22222'), None, None]",True
Minimax,9.364614725112915,4,"{'answer': 'AFTER', 'letters': {'A': 1, 'F': 1, 'T': 1, 'E': 1, 'R': 1}}","[('CRATE', '01111'), ('TAWER', '11022'), ('LAPIS', '01000'), ('AFTER', '22222'), None, None]",True
Minimax,108.98542332649231,5,"{'answer': 'HILLY', 'letters': {'H': 1, 'I': 1, 'L': 2, 'Y': 1}}","[('TRACE', '00000'), ('LIONS', '12000'), ('BULLY', '00222'), ('SHOWD', '01000'), ('HILLY', '22222'), None]",True
Minimax,63.07836127281189,4,"{'answer': 'ROOMY', 'letters': {'R': 1, 'O': 2, 'M': 1, 'Y': 1}}","[('SALET', '00000'), ('IRONY', '01202'), ('ROMPS', '22100'), ('ROOMY', '22222'), None, None]",True
Minimax,12.87297511100769,3,"{'answer': 'HORSE', 'letters': {'H': 1, 'O': 1, 'R': 1, 'S': 1, 'E': 1}}","[('TRACE', '01002'), ('HEROS', '21211'), ('HORSE', '22222'), None, None, None]",True
Minimax,10.919990062713623,4,"{'answer': 'AWAIT', 'letters': {'A': 2, 'W': 1, 'I': 1, 'T': 1}}","[('CRATE', '00210'), ('SHIST', '00102'), ('LIANE', '01200'), ('AWAIT', '22222'), None, None]",True
