model,totalTime,attempts,answerWord,guessWords,won
Constraints,5.232085943222046,5,"{'answer': 'RADAR', 'letters': {'R': 2, 'A': 2, 'D': 1}}","[('TRACE', '01100'), ('HAROS', '02100'), ('RANDY', '22010'), ('RAPID', '22001'), ('RADAR', '22222'), None]",True
Constraints,7.223522424697876,5,"{'answer': 'ABIDE', 'letters': {'A': 1, 'B': 1, 'I': 1, 'D': 1, 'E': 1}}","[('SALET', '01010'), ('PORAE', '00012'), ('HEAVE', '01100'), ('AMICE', '20202'), ('ABIDE', '22222'), None]",True
Constraints,4.051303863525391,2,"{'answer': 'REACT', 'letters': {'R': 1, 'E': 1, 'A': 1, 'C': 1, 'T': 1}}","[('TRACE', '11221'), ('REACT', '22222'), None, None, None, None]",True
Constraints,6.318365812301636,6,"{'answer': 'PUSHY', 'letters': {'P': 1, 'U': 1, 'S': 1, 'H': 1, 'Y': 1}}","[('SALET', '10000'), ('NORIS', '00001'), ('BUSHY', '02222'), ('GUSHY', '02222'), ('HUSHY', '12202'), ('MUSHY', '02222')]",False
Constraints,5.108784437179565,5,"{'answer': 'SATIN', 'letters': {'S': 1, 'A': 1, 'T': 1, 'I': 1, 'N': 1}}","[('SALET', '22001'), ('SAUTS', '22010'), ('SATAY', '22200'), ('SATIS', '22220'), ('SATIN', '22222'), None]",True
Constraints,6.183774709701538,6,"{'answer': 'LEAFY', 'letters': {'L': 1, 'E': 1, 'A': 1, 'F': 1, 'Y': 1}}","[('TRACE', '00201'), ('YEANS', '12200'), ('LEAKY', '22202'), ('LEAVY', '22202'), ('LEADY', '22202'), ('LEAFY', '22222')]",True
Constraints,7.105493068695068,5,"{'answer': 'TOXIN', 'letters': {'T': 1, 'O': 1, 'X': 1, 'I': 1, 'N': 1}}","[('TRACE', '20000'), ('TOTTY', '22000'), ('TOILS', '22100'), ('TOPHI', '22001'), ('TOXIN', '22222'), None]",True
Constraints,6.153652906417847,6,"{'answer': 'DRIVE', 'letters': {'D': 1, 'R': 1, 'I': 1, 'V': 1, 'E': 1}}","[('TRACE', '02002'), ('GREBE', '02100'), ('IRONE', '12002'), ('PRIZE', '02202'), ('FRISE', '02202'), ('DRIVE', '22222')]",True
Constraints,8.161685228347778,6,"{'answer': 'SHACK', 'letters': {'S': 1, 'H': 1, 'A': 1, 'C': 1, 'K': 1}}","[('TRACE', '00220'), ('FLACK', '00222'), ('KYACK', '10220'), ('ABACK', '10022'), ('QUACK', '00222'), ('SWACK', '20222')]",False
Constraints,4.0964930057525635,4,"{'answer': 'TRIBE', 'letters': {'T': 1, 'R': 1, 'I': 1, 'B': 1, 'E': 1}}","[('TRACE', '22002'), ('TROKE', '22002'), ('TRITE', '22202'), ('TRIBE', '22222'), None, None]",True
Constraints,4.084973335266113,4,"{'answer': 'CURSE', 'letters': {'C': 1, 'U': 1, 'R': 1, 'S': 1, 'E': 1}}","[('TRACE', '01012'), ('SCREE', '11210'), ('CORSE', '20222'), ('CURSE', '22222'), None, None]",True
Constraints,6.247189521789551,4,"{'answer': 'GOURD', 'letters': {'G': 1, 'O': 1, 'U': 1, 'R': 1, 'D': 1}}","[('SALET', '00000'), ('MOURN', '02220'), ('BOURG', '02221'), ('GOURD', '22222'), None, None]",True
Constraints,5.131889820098877,5,"{'answer': 'MOLAR', 'letters': {'M': 1, 'O': 1, 'L': 1, 'A': 1, 'R': 1}}","[('SALET', '01200'), ('VOLVA', '02201'), ('BOLAR', '02222'), ('POLAR', '02222'), ('MOLAR', '22222'), None]",True
Constraints,7.284332990646362,6,"{'answer': 'EMBER', 'letters': {'E': 2, 'M': 1, 'B': 1, 'R': 1}}","[('TRACE', '01001'), ('REEKS', '11100'), ('FIXER', '00022'), ('EMMER', '22022'), ('UMBER', '02222'), ('EMBER', '22222')]",True
Constraints,4.196741342544556,4,"{'answer': 'GOOSE', 'letters': {'G': 1, 'O': 2, 'S': 1, 'E': 1}}","[('TRACE', '00002'), ('GLOZE', '20202'), ('GNOME', '20202'), ('GOOSE', '22222'), None, None]",True
